bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against
da934ee8,MK Lomror,-6.8762,-0.0732,94,-1.9649
8dc152d1,D Jansen,-6.9823,-0.2494,28,9.1032
0d232ffd,MA Khote,-6.9827,-0.2328,30,4.858
ed5a5510,P Dubey,-7.1079,-0.09,79,1.9261
f62772e5,P Negi,-7.1366,-0.0097,733,-86.3683
2c76b512,DJ Muthuswami,-7.1465,-0.0851,84,-2.6616
0a476045,S Dhawan,-7.1981,-0.1469,49,0.7034
1c2a64cd,A Ashish Reddy,-7.2312,-0.0268,270,-9.5837
2503e881,A Nel,-7.389,-0.4105,18,6.8474
4d7f517e,AJ Hosein,-7.3993,-0.3083,24,9.5856
cfa4bd2b,Y Prithvi Raj,-7.453,-0.2258,33,5.1775
86ae8ef2,MB Parmar,-7.554,-0.3976,19,5.5349
dc4686e6,BA Bhatt,-7.5736,-0.025,303,-24.053
5ffc0565,V Nigam,-7.5937,-0.0311,244,21.2809
864c199e,AC Voges,-7.6094,-0.1359,56,-0.0886
e342e5fb,CR Brathwaite,-7.9309,-0.0298,266,0.7493
3355b542,F du Plessis,-7.935,-1.3225,6,6.7947
5f26df4f,VS Malik,-7.9531,-0.0375,212,-9.3604
64c34cd0,Shoaib Malik,-8.1241,-0.1401,58,0.8905
38f2c66c,VS Yeligati,-8.2319,-0.2572,32,4.2046
caa89a48,SS Sarkar,-8.3991,-0.336,25,4.5171
c3a96caf,Mandeep Singh,-8.5212,-0.7101,12,7.5337
9a963804,LE Plunkett,-8.5868,-0.0558,154,8.7521
025c4400,MJ Suthar,-8.6479,-0.7207,12,9.7647
7d92277a,Mujeeb Ur Rahman,-8.6633,-0.0186,465,-27.6554
9a5f2863,Mohit Rathee,-8.6919,-0.7243,12,10.154
2049f3a0,SJ Srivastava,-8.8102,-0.0288,306,0.8784
f3171936,BW Hilfenhaus,-8.9242,-0.0229,390,-13.6822
9061a703,J Little,-8.9273,-0.0378,236,43.752
cca50cd6,LJ Wright,-9.0395,-0.1205,75,3.6196
fffa744b,Naman Dhir,-9.0666,-0.1711,53,7.9428
6f49cc6e,Shivam Sharma,-9.4428,-0.0828,114,-3.6034
26ff4c29,RJ Peterson,-9.4845,-0.1976,48,3.8467
a1f1829d,K Goel,-9.9059,-0.1478,67,-0.9615
ade90de7,S Midhun,-9.9206,-0.7631,13,7.6108
d027ba9f,KS Williamson,-10.0062,-0.5559,18,7.137
52294a79,H Sharma,-10.2952,-0.3432,30,15.0698
249d60c9,AU Rashid,-10.3127,-0.1719,60,9.5205
ddb00822,P Prasanth,-10.4546,-1.7424,6,10.5886
99258814,Gurnoor Brar,-10.6939,-0.5092,21,13.8888
1c914163,Yuvraj Singh,-10.7256,-0.0122,882,-129.9551
81c08fa3,Umran Malik,-10.778,-0.0208,519,34.1059
b51f72a5,SS Agarwal,-10.7934,-0.4497,24,9.331
5451a2c1,B Chipli,-10.9002,-1.8167,6,10.4926
e38bce7a,MG Bracewell,-10.9319,-0.1656,66,17.256
c38d3503,Shivam Mavi,-11.0413,-0.0161,687,-4.2687
21ac077a,RR Bose,-11.0744,-0.9229,12,9.0321
a316d663,GC Viljoen,-11.3402,-0.0777,146,13.3201
d621b427,Musheer Khan,-11.3465,-0.9455,12,11.2811
0c432afb,P Parameswaran,-11.464,-0.0721,159,-1.0874
d2c2b2d5,SR Tendulkar,-11.494,-0.3106,37,2.7605
a45a5e8d,AM Nayar,-11.5466,-0.0483,239,-13.5275
e412cb64,HF Gurney,-11.6802,-0.0691,169,2.4146
983f2f61,Swapnil Singh,-11.7513,-0.0712,165,20.9506
b8d490fd,AJ Finch,-11.8575,-0.2695,44,6.6717
56ab442f,NM Coulter-Nile,-11.9629,-0.0134,892,-87.342
260fd380,AM Salvi,-12.2882,-0.0788,156,-6.0591
67af6f81,RW Price,-12.5081,-0.6949,18,10.0861
970ddd24,Suryansh Shedge,-12.5102,-0.6584,19,11.4223
030f3089,K Yadav,-12.5113,-0.2317,54,12.4419
d4eef961,M de Lange,-12.662,-0.1092,116,7.9206
