price_name,team,role_category,is_overseas,price_cr,price_norm,total_WAR,roi_basic,xWAR_price_only,vope_simple,xWAR_market_adj,vomam_score
Rajvardhan Hangargekar,Lucknow Super Giants,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Lizaad Williams,Mumbai Indians,unknown,1,0.75,0.625,0.0,0.0,0.12842147673221177,-0.12842147673221177,0.14654412417243928,-0.14654412417243928
M. Siddharth,Lucknow Super Giants,unknown,0,0.75,0.625,0.0177487889444619,0.02839806231113904,0.12842147673221177,-0.11067268778774987,0.16586884107798586,-0.14812005213352397
Manoj Bhandage,Royal Challengers Bengaluru,unknown,0,0.3,0.25,-0.0141875508388727,-0.0567502033554908,0.09937542416228275,-0.11356297500115545,0.14653379160952426,-0.16072134244839698
Kumar Kushagra,Gujarat Titans,unknown,0,0.65,0.5416666666666667,0.0,0.0,0.12200816159055006,-0.12200816159055006,0.16157216341832772,-0.16157216341832772
Mukesh Kumar,Delhi Capitals,unknown,0,8.0,6.666666666666667,0.3134294664727524,0.04701441997091285,0.5304113415233008,-0.21698187505054845,0.4773779714032004,-0.163948504930448
Umran Malik,Kolkata Knight Riders,unknown,0,0.75,0.625,0.0,0.0,0.12842147673221177,-0.12842147673221177,0.16586884107798586,-0.16586884107798586
Jayant Yadav,Gujarat Titans,unknown,0,0.75,0.625,0.0,0.0,0.12842147673221177,-0.12842147673221177,0.16586884107798586,-0.16586884107798586
Kuldeep Sen,Punjab Kings,unknown,0,0.8,0.6666666666666667,0.0,0.0,0.13161927075864016,-0.13161927075864016,0.16801717990781492,-0.16801717990781492
Xavier Bartlett,Punjab Kings,unknown,1,0.75,0.625,-0.0225561067008649,-0.03608977072138384,0.12842147673221177,-0.15097758343307666,0.14654412417243928,-0.16910023087330417
Rajat Patidar,Royal Challengers Bengaluru,unknown,0,11.0,9.166666666666666,0.4341446284830818,0.04736123219815438,0.6604114431799271,-0.2262668146968453,0.6062783011929442,-0.17213367270986246
Yash Thakur,Punjab Kings,unknown,0,1.6,1.3333333333333335,0.028685706283967,0.02151427971297525,0.18198034715567274,-0.15329464087170575,0.20239060118507995,-0.17370489490111296
Vishnu Vinod,Punjab Kings,unknown,0,0.95,0.7916666666666665,0.0,0.0,0.14117719866031556,-0.14117719866031556,0.1744621963973021,-0.1744621963973021
Ravindra Jadeja,Chennai Super Kings,unknown,0,18.0,15.0,0.7325244669576573,0.04883496446384382,0.8810185992892188,-0.1484941323315615,0.9070457373690135,-0.17452127041135623
Moeen Ali,Kolkata Knight Riders,unknown,1,2.0,1.6666666666666667,0.0251578342823362,0.01509470056940172,0.20659361851243244,-0.18143578423009624,0.20025259491816594,-0.17509476063582974
Kwena Maphaka,Rajasthan Royals,unknown,1,1.5,1.25,0.0034274162267741,0.00274193298141928,0.1757679390204665,-0.1723405227936924,0.17876920661987528,-0.1753417903931012
Donovan Ferreira,Delhi Capitals,unknown,1,0.75,0.625,-0.0289366657313197,-0.04629866517011152,0.12842147673221177,-0.15735814246353147,0.14654412417243928,-0.17548078990375898
Pravin Dubey,Punjab Kings,unknown,0,0.8,0.6666666666666667,-0.0083207138991756,-0.0124810708487634,0.13161927075864016,-0.13993998465781576,0.16801717990781492,-0.17633789380699053
Harsh Dubey,Sunrisers Hyderabad,unknown,0,0.3,0.25,-0.0302175918834036,-0.1208703675336144,0.09937542416228275,-0.12959301604568635,0.14653379160952426,-0.17675138349292785
Rahul Tewatia,Gujarat Titans,unknown,0,4.0,3.3333333333333335,0.1173943806458701,0.03521831419376103,0.32398730687866506,-0.20659292623279496,0.30551086501687513,-0.18811648437100503
Avesh Khan,Lucknow Super Giants,unknown,0,9.75,8.125,0.3632881072223523,0.044712382427366436,0.6088299346070465,-0.2455418273846942,0.5525698304472176,-0.18928172322486536
Gurnoor Brar,Gujarat Titans,unknown,0,1.3,1.0833333333333335,0.0,0.0,0.16327221439483447,-0.16327221439483447,0.18950056820610559,-0.18950056820610559
Devon Conway,Chennai Super Kings,unknown,1,6.25,5.208333333333334,0.1897601346375582,0.03643394585041117,0.44475418717755727,-0.25499405253999907,0.3828613954536365,-0.1931012608160783
Shahbaz Ahmed,Lucknow Super Giants,unknown,0,2.4,2.0,0.040056878343636,0.020028439171818,0.23082871197468774,-0.19077183363105174,0.23676402246234501,-0.19670714411870902
Glenn Phillips,Gujarat Titans,unknown,1,2.0,1.6666666666666667,0.0,0.0,0.20659361851243244,-0.20659361851243244,0.20025259491816594,-0.20025259491816594
Rohit Sharma,Mumbai Indians,unknown,0,16.3,13.583333333333334,0.6332872652638839,0.04662237535685035,0.8380906470048157,-0.20480338174093182,0.8340022171548254,-0.20071495189094146
Glenn Maxwell,Punjab Kings,unknown,1,4.2,3.5000000000000004,0.0937269709466366,0.02677913455618188,0.3352066811103448,-0.2414797101637082,0.29477950343064485,-0.20105253248400826
Mahipal Lomror,Gujarat Titans,unknown,0,1.7,1.4166666666666665,0.0,0.0,0.18816911917247245,-0.18816911917247245,0.2066872788447381,-0.2066872788447381
Rinku Singh,Kolkata Knight Riders,unknown,0,13.0,10.833333333333334,0.4811549334535536,0.04441430154955879,0.7352601184144154,-0.2541051849608618,0.692211854386107,-0.2110569209325534
