bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
23cca426,OF Smith,-43.6835,-0.4598,95,45.1355,True
9fc0ef64,PJ Sangwan,-45.6501,-0.2249,203,47.8852,True
f9e6e7ef,Shahbaz Ahmed,-48.0119,-0.1579,304,13.1414,True
41eb4a4f,R Vinay Kumar,-49.7935,-0.1357,367,50.8382,True
350bb1b1,AF Milne,-50.0708,-0.2307,217,30.2808,True
8cf9814c,Mohammed Shami,-51.4717,-0.0358,1438,27.4544,False
2e11c706,BCJ Cutting,-52.5439,-0.199,264,37.2036,True
edb3d4f8,KC Cariappa,-52.785,-0.2356,224,35.339,True
bbd41817,AD Russell,-52.825,-0.0441,1197,70.4276,False
0f12f9df,NLTC Perera,-54.6108,-0.2285,239,45.8261,True
23eeb873,DL Chahar,-55.729,-0.0524,1064,-1.48,False
f19ccfad,Washington Sundar,-59.8624,-0.0956,626,3.2549,False
d2a989fc,DS Kulkarni,-62.7262,-0.0623,1007,57.9424,False
e94915e6,SM Curran,-64.6287,-0.1554,416,61.919,True
90de905a,K Gowtham,-69.0799,-0.1577,438,24.0663,True
4125d931,J Suchith,-70.1883,-0.1617,434,21.7731,True
98ae73b1,PP Chawla,-70.4064,-0.0619,1137,35.5665,False
871e9faf,Basil Thampi,-70.5188,-0.1369,515,76.9221,True
5bb1a1c4,I Sharma,-70.7669,-0.1077,657,60.0116,False
04a418e8,R Parag,-71.4946,-0.4798,149,54.5678,True
119678fd,KV Sharma,-72.4243,-0.1201,603,28.9607,False
d8b2f218,BB Sran,-75.595,-0.1465,516,63.134,True
808f425a,JP Faulkner,-76.1375,-0.1377,553,75.6885,True
9d80c5e1,S Nadeem,-78.8549,-0.19,415,37.9957,True
d9273ee7,MP Stoinis,-90.2063,-0.1837,491,98.5995,True
759ac88f,MM Sharma,-90.8009,-0.08,1135,76.3743,False
7dc35884,Shakib Al Hasan,-92.1808,-0.1066,865,-21.6256,False
a818c1be,TA Boult,-100.6607,-0.0668,1506,53.2796,False
1e66c162,JD Unadkat,-155.2238,-0.1387,1119,127.2367,True
1abb78f8,SN Thakur,-164.0693,-0.1134,1447,37.6644,False
