batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement
9b6e1b3f,J Fraser-McGurk,92.448,0.4381,211,120.3138,False
ded9240e,PJ Cummins,89.7282,0.2152,417,93.505,False
fffa744b,Naman Dhir,82.7365,0.3661,226,101.6993,False
b8a55852,BB McCullum,81.308,0.0358,2272,-99.2472,False
8b5b6769,Harbhajan Singh,79.8287,0.1255,636,35.0297,False
39f01cdb,KP Pietersen,78.2361,0.1032,758,11.145,False
26989d80,Shashank Singh,77.6968,0.1523,510,118.7241,False
508a1ea7,SE Marsh,76.1241,0.0398,1913,-54.5231,False
45a43fe2,RD Gaikwad,75.7067,0.0402,1884,33.5319,False
b2b4f545,A Mhatre,75.5786,0.5517,137,88.4966,False
800d2d97,JM Sharma,74.2174,0.1106,671,125.1874,False
5f547c8b,Rashid Khan,73.3992,0.1877,391,72.6709,False
fb2d1dda,N Rana,69.2641,0.0319,2168,38.0007,False
470f446b,V Suryavanshi,66.0834,0.5123,129,77.7357,False
00ea847a,MA Agarwal,63.8605,0.0296,2161,24.9787,False
91ffa6c6,JD Ryder,62.8848,0.1349,466,5.8954,False
c5aef772,R Shepherd,61.2336,0.6584,93,66.7646,False
ba5e1069,R Ravindra,56.1222,0.1883,298,54.7097,False
844e79d1,D Brevis,53.8699,0.1716,314,64.6339,False
c03e2850,M Vohra,52.6512,0.061,863,12.1591,False
11df3dc8,MJ Lumb,50.1505,0.2533,198,31.1306,False
90de905a,K Gowtham,49.6221,0.3121,159,40.4343,False
dbe50b21,HH Pandya,49.0983,0.0248,1976,47.3657,False
d9273ee7,MP Stoinis,48.3733,0.033,1466,43.9097,False
8e514b4c,Abdul Samad,47.0472,0.0915,514,76.3198,False
2be41edb,MJ Guptill,43.5988,0.2137,204,33.6988,False
c3d35165,JA Morkel,42.976,0.0604,712,-40.7574,False
2e11c706,BCJ Cutting,41.0343,0.2811,146,35.1021,False
9caf69a1,WG Jacks,40.4415,0.1288,314,66.1607,False
5574750c,JC Archer,40.1086,0.2145,187,34.4582,False
ad3b6e95,Abishek Porel,39.0195,0.0832,469,91.1013,False
e66732f8,RD Rickelton,35.9764,0.1352,266,51.4363,False
84d9c311,Ashutosh Sharma,34.6256,0.1332,260,67.4985,False
e087956b,BA Stokes,34.5295,0.0478,722,-24.4362,False
2498e163,JR Hopes,33.6224,0.1071,314,14.2641,False
944533a5,KK Nair,32.4595,0.0245,1324,-22.2053,False
c18496e1,Bipul Sharma,32.0396,0.2584,124,20.8132,False
557153ca,KK Cooper,31.7932,0.4542,70,24.0584,False
1c2a64cd,A Ashish Reddy,31.4405,0.1604,196,15.4685,False
