price_name,cricwar_name,team,price_cr,total_WAR,batting_WAR,bowling_WAR,match_type,war_per_crore,price_per_1_war
Phil Salt,PD Salt,Royal Challengers Bengaluru,11.5,1.3262277655073518,1.3262277655073518,0.0,exact,0.11532415352237842,8.6712104052509
Jitesh Sharma,JM Sharma,Royal Challengers Bengaluru,11.0,0.6567170436825183,0.6567170436825183,0.0,exact,0.05970154942568348,16.749984039271887
Bhuvneshwar Kumar,B Kumar,Royal Challengers Bengaluru,10.75,0.31958122114007814,-0.0869146069260043,0.4064958280660825,exact,0.029728485687449128,33.63777121086875
Liam Livingstone,LS Livingstone,Royal Challengers Bengaluru,8.75,0.1791497184307815,0.1216909093665884,0.0574588090641931,exact,0.020474253534946456,48.841829485658714
Rasikh Dar,,Royal Challengers Bengaluru,6.0,0.0,0.0,0.0,none,0.0,
Krunal Pandya,KH Pandya,Royal Challengers Bengaluru,5.75,0.861644766054834,0.0807857641631696,0.7808590018916644,exact,0.14985126366171025,6.673283731911019
Suyash Sharma,Suyash Sharma,Royal Challengers Bengaluru,2.6,0.3844956075527809,0.0,0.3844956075527809,exact,0.1478829259818388,6.762105857459217
Devdutt Padikkal,D Padikkal,Royal Challengers Bengaluru,2.0,0.2610133340263969,0.2610133340263969,0.0,exact,0.13050666701319846,7.662443788399465
Nuwan Thushara,N Thushara,Royal Challengers Bengaluru,1.6,0.180400055863848,0.0,0.180400055863848,exact,0.112750034914905,8.869176854399404
Tim David,,Royal Challengers Bengaluru,3.0,0.0,0.0,0.0,none,0.0,
Romario Shepherd,,Royal Challengers Bengaluru,1.5,0.0,0.0,0.0,none,0.0,
Jacob Bethell,JG Bethell,Royal Challengers Bengaluru,2.6,0.181109880562128,0.181109880562128,0.0,exact,0.06965764637004923,14.355925761367255
Swapnil Singh,Swapnil Singh,Royal Challengers Bengaluru,0.5,0.0,0.0,0.0,metadata_only,0.0,
Manoj Bhandage,MS Bhandage,Royal Challengers Bengaluru,0.3,-0.0141875508388727,-0.0141875508388727,0.0,exact,-0.04729183612957567,
