bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
b681e71e,GJ Maxwell,-11.6105,-0.0202,576,-57.9554,False,107.68474705882353,0.18695268586601307,0.9662720997637242,0.0016775557287564656
957532de,S Aravind,1.9777,0.0041,482,3.8467,False,101.80462549019609,0.21121291595476366,0.913508848048234,0.0018952465727141783
f62772e5,P Negi,-9.0811,-0.0171,531,-38.0977,False,100.89420588235294,0.19000792068239725,0.9053395103271162,0.0017049708292412736
33a364a6,R Bhatia,42.5264,0.1513,281,-46.2337,False,100.72425490196079,0.3584493057009281,0.9038145135641975,0.003216421756456219
c33d8116,Mohsin Khan,54.4257,0.2642,206,-65.2008,False,97.09031960784313,0.4713122311060346,0.8712066430629606,0.004229158461470682
acdc62f5,A Nortje,28.6443,0.0868,330,-55.1016,False,96.99053529411765,0.29391071301247773,0.8703112627887762,0.0026373068569356855
ded9240e,PJ Cummins,-38.8441,-0.0598,650,-11.6449,False,95.77727254901961,0.14734965007541478,0.8594244661690973,0.0013221914864139958
7d92277a,Mujeeb Ur Rahman,12.2136,0.0303,403,-44.4807,False,95.67885098039216,0.23741650367342967,0.8585413140200957,0.0021303754690324955
db31895a,AS Rajpoot,7.0399,0.0165,427,7.6468,False,95.47578627450982,0.2235966891674703,0.8567191826124447,0.002006368109162634
3fb19989,MA Starc,38.8876,0.143,272,-46.3576,False,95.22146666666666,0.3500789215686274,0.8544371329425183,0.0031413129887592588
f5180fe6,MG Johnson,-23.0059,-0.0412,558,16.969,False,92.5613705882353,0.1658805924520346,0.8305676742356597,0.0014884725344725084
f834dcfc,L Ngidi,39.2159,0.1648,238,-37.4866,False,88.50803333333333,0.3718824929971989,0.7941964442581664,0.0033369598498242284
81c08fa3,Umran Malik,6.9595,0.0179,388,-9.7864,False,87.31810392156864,0.22504665959167175,0.7835190212926985,0.00201937892085747
7dc35884,Shakib Al Hasan,-92.1808,-0.1066,865,-21.6256,False,86.96918039215686,0.10054240507763798,0.7803880758187075,0.0009021827466112226
c38d3503,Shivam Mavi,-22.2584,-0.0424,525,1.5311,False,86.47424705882352,0.16471285154061624,0.7759469615076731,0.0014779942123955678
5bb5a915,M Morkel,2.3349,0.0059,394,1.5266,False,83.93616274509804,0.21303594605354834,0.7531723334736656,0.0019116049072935677
4c5d73db,CR Woakes,-14.0982,-0.0304,463,27.5922,False,81.79363921568627,0.1766601278956507,0.7339471343056998,0.001585198994180777
03806cf8,JR Hazlewood,-24.0282,-0.0477,504,4.1478,False,80.3551411764706,0.15943480392156864,0.72103926611802,0.001430633464519881
39a2dfa8,R Tewatia,-26.5524,-0.052,511,-5.0491,False,79.28070980392158,0.15514816008595222,0.7113982251464716,0.0013921687380557173
0a3d54b9,VR Aaron,-25.6628,-0.0509,504,40.4954,False,78.72054117647059,0.15619154995331466,0.7063717443248826,0.0014015312387398464
1e66c162,JD Unadkat,-155.2238,-0.1387,1119,127.2367,True,76.53207058823529,0.06839327130315932,0.6867342550023685,0.0006137035344078361
bd17b45f,STR Binny,9.1458,0.0289,317,-8.8367,False,74.79960784313725,0.235960908022515,0.6711885954712759,0.0021173141812974
